0	173.0000	original lat/lon values
10000000	1600000	false northing/easting values
STREET	NORTHING	EASTING	HOUSE #
			
MANING LANE	5427835.35	1748792.75	 
MANNERS ST	5427268.98	1748936.58	 
MANNERS ST	5427272.45	1748935.51	151
MANNERS ST	5427299.46	1748900.02	135
MANNERS ST	5427290.81	1748888.43	110
MANNERS ST	5427313.38	1748857.4	110
MANNERS ST	5427311.7	1748848.71	110
MANNERS ST	5427339.56	1748852.01	115
MANNERS ST	5427339.9	1748826.82	 
MANNERS ST	5427353.9	1748835.13	115
MANNERS ST	5427341.52	1748824.93	 
MANNERS ST	5427362.14	1748825.37	115
MANNERS ST	5427353.41	1748810.12	 
MANNERS ST	5427365.62	1748794.9	93
MANNERS ST	5427366.47	1748793.28	87
MANNERS ST	5427411.77	1748767.83	79
MANNERS ST	5427408.76	1748758.88	66
MANNERS ST	5427424.09	1748755.04	73
MANNERS ST	5427424.76	1748744.63	88
MANNERS ST	5427435.33	1748744.07	67
MANNERS ST	5427448.63	1748730.53	57
MANNERS ST	5427442.44	1748723.93	76
MANNERS ST	5427444.31	1748721.49	64
MANNERS ST	5427450.3	1748728.78	57
MANNERS ST	5427455.68	1748710.2	64
MANNERS ST	5427460.51	1748700.66	64
MANNERS ST	5427505.31	1748668.95	44
MANNERS ST	5427529.48	1748667.11	35
MANNERS ST	5427546.97	1748644.41	18
MANNERS ST	5427572.28	1748641.18	15
MANNERS ST	5427573.62	1748627.3	2
MANNERS ST	5427615.61	1748612.78	1
MARION ST	5427027.6	1748714.81	16
MARION ST	5426982.94	1748695.71	36
MARKET LANE	5427436.18	1749016.82	 
MARKET LANE	5427513.06	1748968.15	117
MERCER ST	5427729.45	1748666.64	 
MERCER ST	5427728.12	1748669.09	28
MERCER ST	5427704.29	1748686.69	35
MOLESWORTH ST	5428795.64	1748910.43	 
MOLESWORTH ST	5428830.28	1748916.1	32
MOLESWORTH ST	5428922.54	1748874.3	1
MOLESWORTH ST	5428936.87	1748894.31	54
MOLESWORTH ST	5428984.35	1748882.07	21
MOLESWORTH ST	5429116.99	1748890.43	55
MOLESWORTH ST	5429199.96	1748894.44	79
MOLESWORTH ST	5429246.28	1748911.77	140
MOLESWORTH ST	5429258.82	1748897.29	97
MOLESWORTH ST	5429297.33	1748898.64	101
MOLESWORTH ST	5429297.96	1748911.85	150
MOLESWORTH ST	5429370.34	1748898.49	 
MULGRAVE ST	5429060.19	1749077.34	34
MULGRAVE ST	5428952.99	1749053.45	 
MURPHY ST	5429250.68	1749017.02	28
MURPHY ST	5429156.93	1749057.03	 
MURPHY ST OFFRAMP WALKWAY	5429435.13	1748907.45	 
OREILY AVE	5427651.1	1748577.67	 
ORIENTAL PDE	5427245.68	1749491.64	 
ORIENTAL PDE	5427255.75	1749489.48	 
ORIENTAL PDE	5427271.48	1749531.09	 
ORIENTAL PDE	5427289.1	1749550.05	 
ORIENTAL PDE	5427299.92	1749561.99	 
ORIENTAL PDE	5427310.97	1749572.59	 
ORIENTAL PDE	5427327.84	1749594.39	103
ORIENTAL PDE	5427339.8	1749667.43	103
ORIENTAL PDE	5427334.7	1749697.63	103
ORIENTAL PDE	5427359.92	1749868.01	144
ORIENTAL PDE	5427392.75	1749877.84	 
ORIENTAL PDE	5427408.77	1749918.99	 
ORIENTAL PDE	5427415.19	1749931.98	 
ORIENTAL PDE	5427433.71	1749977.51	 
ORIENTAL PDE	5427434	1749982.74	 
ORIENTAL PDE	5427433.71	1750009.61	 
ORIENTAL PDE	5427426.69	1750006.17	 
ORIENTAL PDE	5427407.86	1750033.75	 
ORIENTAL PDE	5427400.85	1750046.59	 
ORIENTAL PDE	5427390.69	1750062.71	 
ORIENTAL PDE	5427373.41	1750095.87	 
ORIENTAL PDE	5427368.9	1750103.47	 
ORIENTAL PDE	5427372.78	1750114.67	 
ORIENTAL PDE	5427362.93	1750116.61	 
ORIENTAL PDE	5427341.65	1750116.76	 
ORIENTAL PDE	5427357.33	1750165.13	 
ORIENTAL PDE	5427356.88	1750189.01	 
ORIENTAL PDE	5427357.03	1750195.73	 
