Northing	 Easting	       	 Latitude	 Longitude
       	5428117.4	1748728.2	       	41 17 04.893 S	174 46 33.826 E
       	5428138.3	1748715.1	       	41 17 04.223 S	174 46 33.246 E
       	5428139.8	1748713.9	       	41 17 04.175 S	174 46 33.194 E
       	5428128.7	1748703.5	       	41 17 04.544 S	174 46 32.755 E
       	5428129.3	1748700.5	       	41 17 04.526 S	174 46 32.625 E
       	5428134.8	1748693.1	       	41 17 04.352 S	174 46 32.303 E
       	5428135.3	1748690.3	       	41 17 04.339 S	174 46 32.182 E
       	5428136.4	1748688.0	       	41 17 04.305 S	174 46 32.082 E
       	5428137.1	1748687.1	       	41 17 04.281 S	174 46 32.043 E
       	5428151.8	1748692.9	       	41 17 03.801 S	174 46 32.279 E
       	5428137.3	1748685.6	       	41 17 04.274 S	174 46 31.979 E
       	5428152.8	1748689.2	       	41 17 03.771 S	174 46 32.120 E
       	5427307.8	1748987.8	       	41 17 30.963 S	174 46 45.693 E
       	5427742.2	1748837.9	       	41 17 16.981 S	174 46 38.871 E
       	5429560.9	1749106.7	       	41 16 17.855 S	174 46 48.820 E
       	5427256.1	1748910.8	       	41 17 32.688 S	174 46 42.433 E
       	5428103.7	1748845.1	       	41 17 05.260 S	174 46 38.864 E
       	5428335.7	1748760.1	       	41 16 57.795 S	174 46 35.004 E
       	5428323.4	1748785.6	       	41 16 58.178 S	174 46 36.112 E
       	5428274.2	1748887.7	       	41 16 59.704 S	174 46 40.545 E
       	5428292.8	1748896.8	       	41 16 59.096 S	174 46 40.919 E
       	5428893.3	1748892.2	       	41 16 39.636 S	174 46 40.193 E
       	5428875.1	1748899.1	       	41 16 40.222 S	174 46 40.504 E
       	5426949.6	1749310.7	       	41 17 42.357 S	174 46 59.890 E
       	5426886.5	1749303.8	       	41 17 44.406 S	174 46 59.647 E
       	5426868.3	1749293.7	       	41 17 45.005 S	174 46 59.230 E
       	5426746.7	1749242.0	       	41 17 48.977 S	174 46 57.113 E
       	5426462.0	1749114.0	       	41 17 58.290 S	174 46 51.865 E
       	5426926.1	1748709.1	       	41 17 43.519 S	174 46 34.055 E
       	5426929.8	1748687.5	       	41 17 43.411 S	174 46 33.122 E
       	5427924.3	1748732.4	       	41 17 11.147 S	174 46 34.176 E
       	5427938.9	1748738.8	       	41 17 10.671 S	174 46 34.438 E
       	5427949.4	1748726.4	       	41 17 10.338 S	174 46 33.898 E
       	5427958.5	1748723.2	       	41 17 10.047 S	174 46 33.753 E
       	5427996.2	1748710.3	       	41 17 08.834 S	174 46 33.166 E
       	5428069.5	1748695.5	       	41 17 06.468 S	174 46 32.466 E
       	5428085.5	1748679.4	       	41 17 05.960 S	174 46 31.758 E
       	5428089.0	1748678.0	       	41 17 05.847 S	174 46 31.697 E
       	5428147.1	1748668.5	       	41 17 03.970 S	174 46 31.234 E
       	5428206.8	1748664.8	       	41 17 02.035 S	174 46 31.026 E
       	5428283.8	1748667.4	       	41 16 59.538 S	174 46 31.067 E
       	5428326.6	1748682.5	       	41 16 58.142 S	174 46 31.678 E
       	5428353.5	1748692.5	       	41 16 57.265 S	174 46 32.085 E
       	5428391.2	1748711.7	       	41 16 56.030 S	174 46 32.879 E
       	5428488.1	1748715.8	       	41 16 52.884 S	174 46 32.970 E
       	5428500.5	1748713.4	       	41 16 52.484 S	174 46 32.854 E
       	5428502.9	1748713.3	       	41 16 52.408 S	174 46 32.848 E
       	5428548.3	1748707.8	       	41 16 50.939 S	174 46 32.572 E
       	5428629.6	1748722.3	       	41 16 48.296 S	174 46 33.125 E
       	5428630.8	1748723.1	       	41 16 48.256 S	174 46 33.159 E
       	5428677.8	1748781.2	       	41 16 46.692 S	174 46 35.613 E
       	5428785.8	1748893.7	       	41 16 43.119 S	174 46 40.351 E
       	5428793.2	1748941.0	       	41 16 42.849 S	174 46 42.375 E
       	5428793.9	1748943.2	       	41 16 42.823 S	174 46 42.471 E
       	5428860.1	1749054.4	       	41 16 40.602 S	174 46 47.188 E
       	5428689.6	1748846.2	       	41 16 46.267 S	174 46 38.396 E
       	5428664.3	1748809.0	       	41 16 47.112 S	174 46 36.816 E
       	5428644.0	1748776.0	       	41 16 47.793 S	174 46 35.418 E
       	5428519.1	1748739.0	       	41 16 51.864 S	174 46 33.940 E
       	5428724.0	1748842.2	       	41 16 45.155 S	174 46 38.191 E
       	5428722.4	1748842.9	       	41 16 45.207 S	174 46 38.224 E
       	5428726.1	1748841.1	       	41 16 45.089 S	174 46 38.142 E
       	5428725.3	1748844.4	       	41 16 45.112 S	174 46 38.284 E
       	5428514.0	1748740.0	       	41 16 52.031 S	174 46 33.984 E
       	5428726.9	1748846.7	       	41 16 45.058 S	174 46 38.384 E
       	5428470.1	1748746.4	       	41 16 53.449 S	174 46 34.301 E
       	5428379.6	1748737.1	       	41 16 56.389 S	174 46 33.980 E
       	5428347.7	1748722.7	       	41 16 57.431 S	174 46 33.387 E
       	5428320.3	1748710.6	       	41 16 58.328 S	174 46 32.891 E
       	5428318.3	1748709.3	       	41 16 58.394 S	174 46 32.838 E
       	5428280.9	1748696.0	       	41 16 59.616 S	174 46 32.300 E
       	5427553.9	1748728.4	       	41 17 23.158 S	174 46 34.330 E
       	5427518.3	1748720.8	       	41 17 24.316 S	174 46 34.037 E
       	5427462.9	1748446.7	       	41 17 26.292 S	174 46 22.305 E
       	5427835.3	1748792.8	       	41 17 13.992 S	174 46 36.849 E
       	5427269.0	1748936.6	       	41 17 32.254 S	174 46 43.529 E
       	5427272.5	1748935.5	       	41 17 32.142 S	174 46 43.480 E
       	5427299.5	1748900.0	       	41 17 31.290 S	174 46 41.931 E
       	5427290.8	1748888.4	       	41 17 31.578 S	174 46 41.440 E
       	5427313.4	1748857.4	       	41 17 30.867 S	174 46 40.087 E
       	5427311.7	1748848.7	       	41 17 30.927 S	174 46 39.715 E
       	5427339.6	1748852.0	       	41 17 30.022 S	174 46 39.832 E
       	5427339.9	1748826.8	       	41 17 30.028 S	174 46 38.749 E
       	5427353.9	1748835.1	       	41 17 29.568 S	174 46 39.094 E
       	5427341.5	1748824.9	       	41 17 29.976 S	174 46 38.667 E
       	5427362.1	1748825.4	       	41 17 29.308 S	174 46 38.667 E
       	5427353.4	1748810.1	       	41 17 29.601 S	174 46 38.020 E
       	5427365.6	1748794.9	       	41 17 29.215 S	174 46 37.355 E
       	5427366.5	1748793.3	       	41 17 29.189 S	174 46 37.284 E
       	5427411.8	1748767.8	       	41 17 27.737 S	174 46 36.151 E
       	5427408.8	1748758.9	       	41 17 27.841 S	174 46 35.769 E
       	5427424.1	1748755.0	       	41 17 27.347 S	174 46 35.590 E
       	5427424.8	1748744.6	       	41 17 27.332 S	174 46 35.142 E
       	5427435.3	1748744.1	       	41 17 26.990 S	174 46 35.109 E
       	5427448.6	1748730.5	       	41 17 26.567 S	174 46 34.516 E
       	5427442.4	1748723.9	       	41 17 26.772 S	174 46 34.237 E
       	5427444.3	1748721.5	       	41 17 26.713 S	174 46 34.131 E
       	5427450.3	1748728.8	       	41 17 26.514 S	174 46 34.439 E
       	5427455.7	1748710.2	       	41 17 26.352 S	174 46 33.636 E
       	5427460.5	1748700.7	       	41 17 26.202 S	174 46 33.221 E
       	5427505.3	1748669.0	       	41 17 24.771 S	174 46 31.819 E
       	5427529.5	1748667.1	       	41 17 23.989 S	174 46 31.719 E
       	5427547.0	1748644.4	       	41 17 23.437 S	174 46 30.728 E
       	5427572.3	1748641.2	       	41 17 22.619 S	174 46 30.567 E
       	5427573.6	1748627.3	       	41 17 22.585 S	174 46 29.969 E
       	5427615.6	1748612.8	       	41 17 21.233 S	174 46 29.309 E
       	5427027.6	1748714.8	       	41 17 40.224 S	174 46 34.210 E
       	5426982.9	1748695.7	       	41 17 41.685 S	174 46 33.429 E
       	5427436.2	1749016.8	       	41 17 26.781 S	174 46 46.830 E
       	5427513.1	1748968.1	       	41 17 24.321 S	174 46 44.670 E
